account,followers,created_date,bio,tweets
Socialfi02,1634,Wed Jul 26 12:02:43 +0000 2023,"$DUKO is Elon's cutest pet on Solana, according to Grok AI. Token Address: HLptm5e6rTgh4EKgDpYFrnRHbjpkMyVdEeREEa2G7rf9   851933",0
Metya_PH,18203,Thu Sep 26 02:54:13 +0000 2024,"#Metya | Desentralisadong #Web3 na dating platform na pinapagana ng #AI, kung saan 8.5M+ tao ang nagkikita bawat buwan. Nangunguna sa #SocialFi rebolusyon",119
Metya_ID,18526,Thu Sep 26 04:29:28 +0000 2024,"#Metya | Platform kencan #Web3 terdesentralisasi didukung oleh #AI, dengan 8.5M+ orang setiap bulan. Memimpin revolusi #SocialFi",136
Metya_RU,18406,Thu Sep 26 06:09:21 +0000 2024,"#Metya | Децентрализованная #Web3 платформа знакомств на базе #AI, 8.5M+ пользователей в месяц. Лидер #SocialFi революции",135
Metya_IN,20851,Thu Sep 26 03:53:06 +0000 2024,"#Metya | #AI द्वारा संचालित विकेंद्रीकृत #Web3 डेटिंग प्लेटफ़ॉर्म, जहाँ हर महीने 8.5M+ लोग मिलते हैं। #SocialFi क्रांति का नेतृत्व।",135
Metya_VN,21060,Thu Sep 26 04:05:23 +0000 2024,"#Metya | Nền tảng hẹn hò #Web3 phi tập trung, hỗ trợ bởi #AI, với 8.5M+ người mỗi tháng. Dẫn đầu cách mạng #SocialFi",136
XYBAGAME,9962,Mon Mar 13 14:19:43 +0000 2023,"🎮 Play together, Party together. 
🍕 The first #Arbitrum #SocialFi arcade, introducing a new wave of SocialFi.

👾 https://t.co/bGnHQ9bvPA",127
Friend3AI,293940,Mon Apr 03 04:29:56 +0000 2023,"Launch your AI agents with one click to make friends & profits at https://t.co/6CV718u8Kj | Launchpad, AI Hub & SocialFi Marketplace | $F3 🤖️👷‍♂️👩‍🍳

💬 https://t.co/pc4mcBuBsV",1732
SoMon_OwO,171266,Fri Mar 15 04:31:05 +0000 2024,"#SocialFi Web3 Forum App built on @Base.
Powered by $OwO & @OpenSocialASI 🟢

📲 Available on iOS, Android!
Dune dashboard: https://t.co/vib24KQoOD",584
XRPTalk_real,91,Sat Oct 19 17:01:22 +0000 2024,"The first SocialFi on #XRPL.
Build your own #SocialFi.",15
linkd_world,135,Wed Nov 01 08:02:27 +0000 2023,"Let's Break the Barrier Digitalization Has Created via SocialFi!
Connect and Interact with People; Learn, and Build a Healthy Social Economy to Earn $LNK.",27
xfish_FI,500,Thu May 31 20:18:54 +0000 2018,"#XFish combines #GameFi and #SocialFi
Play & Tweet To Earn model allows players to entertain, connect and earn - all within the immersive world of XFish.",59
PiNetwork_35,256250,Thu Mar 24 10:52:13 +0000 2022,"Pi Network is first degital mobile mining app. 4L3D9YX3
join Telegram Channel: https://t.co/75NDkcZ1Qo
#PiNetwork #SocialFi #Nfts #Defi",2175
influpia,91558,Thu Jan 18 05:43:42 +0000 2024,🌐 Explore #MerlinChain #Bitlayer with the first fair launch #ERC404 on-MultiChain #SocialFi platform.  Transform your social influence into tangible rewards.,243
tgtwtf,4779,Sun May 22 06:05:07 +0000 2022,"A #web3 Community Powered Economy Platform |  https://t.co/cKgzGsuBYm
#togethertoken #Socialfi #GlobalMembership #TogetherWeGrow",752
Polygene_io,139,Sun May 20 20:23:46 +0000 2012,#Polygene is a decentralized #Web3 Social App on #blockchain. #Chat2Earn the #SocialFi revolution https://t.co/xfKhtf3rvn,161
_s_l_a_t_e_,201094,Wed Dec 25 09:56:29 +0000 2013,Building a new #SocialFi platform since 2018 🚀 $SSLX to be listed at major #crypto exchanges soon 💎 Join us ⬇️,3390
DexChatSOL,1142,Wed Nov 27 09:54:21 +0000 2024,"Voice chat with others viewing the same token across multiple dex platforms! Proximity chat is here to change the game. #socialFi
Tg: https://t.co/sjwLCxl5Gp",55
NewCoinListings,55917,Tue Apr 17 12:05:14 +0000 2018,#NewCoin Listing #Binance #BNB #Bitcoin #BTC #Doge | DYOR | #ETH #DAO #GameFi #DeFi #NFT #SocialFi #Web3 #Metaverse #Crypto #Fantoken #Oracle #Altcoin #Adoption,766
Friend3AI_Agent,1408,Fri Mar 15 21:17:25 +0000 2024,"The 1st Social AI Agent built on @Friend3AI - Use AI to make SocialFi great again.

$FAIA CA: 4SUCXv3bb51gSNG2dEdruX7xucNXNcsJR7ZByDjRuTRs",27
StarsLeague,1445,Tue Nov 02 10:21:16 +0000 2010,"#SocialFi - Buy, Sell & Trade Access to your favorite creators, athletes & artists! Collect the $STARS, compete for rewards!",40
blablagroups,10400,Tue Jul 23 18:45:44 +0000 2024,SocialFi Meets Short Videos — Your Social Experience Redefined In Solana! Just $BLABLA it 📺📲 https://t.co/ylICUzvc8j,183
Gamiumcorp,88178,Mon Sep 20 19:01:55 +0000 2021,"The Metaverse & SocialFi Platform on #BNB

⚡ Powered by $GMM |",3483
HooCrypto,6389,Fri Apr 24 01:56:46 +0000 2015,DevRel @TalentProtocol || building $BUILD || SocialFi || Systems Engineering || onchain,16576
Envo_Official,65765,Tue Jul 11 09:13:35 +0000 2023,A Web3.0-Social platform empowering users to generate value #Web3 #SocialFi,321
wannabotbet,926,Sun Jul 03 20:43:29 +0000 2022,"Revolutionizing Social Engagement!

Powered by $WANNA | #SocialFi",264
NocenaApp,10122,Thu Jun 27 12:58:45 +0000 2024,Crypto powered social network to help creators profit from their content #SocialFi #Solana #ChallengeToEarn,22
dyorexchange,103282,Mon Apr 04 09:28:59 +0000 2022,"$DYOR Empowering DeFi with AI. SocialFi Investing with AI-curated token feeds. 
App available on iOS & Android. https://t.co/HTDNAD9gQY",3054
torum_official,38781,Tue Aug 13 06:30:38 +0000 2019,$XTM #SocialFi | Bring Your NFT to Life. Your NFT is more than just a JPEG. Backed by @HTX_Global & @kucoincom. 🔥 Waitlist is now live 🔥,4794
airdropekseni,487,Mon May 02 09:27:02 +0000 2022,Content Creator on Telegram @airdropekseni | @Pulse_Gang #SocialFi,6012
0xCryptoMike,814,Tue Jun 30 02:36:12 +0000 2015,Pop #SocialFi #Web3 #Wagmi #NFT https://t.co/SNOAqKzJPN,37
Cryptoo_current,3510,Thu Jan 31 22:14:59 +0000 2013,#NFT Collector | #Socialfi l Ordinals l Memecoin,10299
aZen_Dao,39518,Sun Jul 02 05:59:23 +0000 2023,"aZen |
AI-Powered |
🤝 Community Driven |
💸 Turn Your Everyday Social Media Activity into Digital AI Marketing Force 
#Gamefi #Socialfi #Web3 #Dao",727
farmroll_io,38109,Mon Apr 29 17:57:18 +0000 2024,"AI Agent Launchpad and Questing platform boosting SocialFI and on-chain growth with gamified quests, rewards, and RWA!
Powered by $ROLL",5418
idiosyncratic1_,875,Mon Jun 01 12:32:59 +0000 2015,"Content Manager @inleoio

https://t.co/KhfcKpF3Q2

#DeFi / #GameFi / #SocialFi Enthusiast",4134
futtrillionaire,6916,Mon Oct 15 18:13:51 +0000 2012,"Early #Bitcoin Investor / Entrepreneur. - Founder - @globalcoinxyz, @Blockfinexyz and (stealth) Decentralized Social - Web3 - SocialFI Pioneer $BERA #SUI #MOVE",12011
devtrader247,388,Sat Aug 29 17:16:29 +0000 2009,trader/investor since 2017 • web3 builder 💯 @AltcoinTraders_ #programming #trading #investing #web3 #defi #nft #socialfi,1505
cryptokelt,5328,Mon Jul 05 16:57:43 +0000 2021,Crypto generation guy | AVAX Maxi | NFTs enjoyer | #SocialFi is the future | $ARENA 🔺Nochillio.,5262
pluschain41213,41694,Sun May 05 04:07:10 +0000 2024,"ShowPlus Chain 2.0® | The Token driving the Show+® ecosystem, bridging digital innovation with real-world utility. | #SHC2 | #SocialFi",510
SpaceMworld,15039,Fri Feb 16 21:12:04 +0000 2024,"#SocialFi & Gaming ecosystem on #avax where NFT Nodes generate daily $SPACEM tokens

TG: https://t.co/bWUZlXEf8I
#VIP : https://t.co/dIvLn8bcx0",484
BitStarters_com,10125,Fri Mar 31 14:23:26 +0000 2023,"Decentralized Multichain #Launchpad - Discover and gain early access to new promising #web3 projects in #GameFi , #AI & #SocialFi. $BITS 🚀",868
funs_ai,10118,Tue Sep 12 13:40:06 +0000 2023,"Funs AI integrates #blockchain and #AI to build an ecosystem combining social economy, digital asset trading, and e-commerce.  #SocialFi #Base #STO #FunDukes",592
wilsonye_2011,5752,Sun Oct 23 20:12:50 +0000 2011,#CyberSecurity #Blockchain #AI #SocialFi | Project Manager | DM is open 💌,854
zharkov_crypto,1064,Sun Dec 01 22:29:18 +0000 2013,Building @alphador_ai. Best #socialfi bots.  Software developer and crypto analyst from Ukraine. Owner of youtube and telegram communities with 6k+ people.,469
RuBaRu_app,14529,Thu Feb 17 08:47:29 +0000 2022,"Building Fully OnChain Content Creator-Consumer Economy! 
Shared success builds wealth! Crafted in 🇮🇳  connecting the🌎!
 @Dfinity Grantee. #Web3 #SocialFi",1519
TheBarkingGame,1894,Thu Mar 07 02:06:56 +0000 2024,"Ahoy matey! Cptn Jack and the Barkaneers welcome u to The Barking Game; a SocialFi game on Hedera rewarding builders, creators and community $hbark 0.0.5022567",3922
gemgemcrypto,6386,Thu May 20 08:26:44 +0000 2021,🚀 A crypto YouTuber covering cold wallets review and projects analysis #SocialFi @Purse_Land $PURSE,2291
mycryptoplygrnd,1190,Sun Dec 26 20:02:09 +0000 2021,Im Don. SMB Owner. Crypto Enthusiast. Wife+4 kids+6 cats+3 dogs. #DeFi • #DePIN • $SGB • $FLR • $HBAR • $CSPR • $JKL • $AXV • $XRP • $XLM #SocialFi,2959
theras_labs,375,Tue May 09 22:27:09 +0000 2023,"https://t.co/lxwWL5uEM1 building several tokenised blockchain products 
1. Cross-chain STAR_EX GameFi - https://t.co/pU0NwW1m5b 
2. $HYAPE #GameFi 
3. $ZZUP #socialFi",597
floyxcom,54590,Sun Jul 08 13:21:05 +0000 2018,"Decentralized social media | Censorship-free & secure | #Web3SocialMedia
📲 Android & iOS apps | https://t.co/9RuCu4GwmK
Start monetizing your creativity | #SocialFi",3479
Maese_Corneta,2376,Tue Dec 27 15:40:52 +0000 2011,"Social Media Manager 👩🏽‍🔧 & Community Dynamo ⚡ |
@Gamiumcorp, The #Metaverse & #SocialFi Platform $GMM |
@Diditprotocol, The Internet Identity Layer",16077
PortlSocialFi,18122,Thu Jul 27 01:48:33 +0000 2017,"AI-driven SocialFi app, with native token $PASS. Beta app live on app stores, token launching Q1, 2025. #SocialFi #AI",140
rogerg8001,23252,Sun Oct 26 07:58:33 +0000 2014,Building @gotransfermole to turn social media usernames into global payment addresses. Always caffeinated. ☕️ #BTC #SocialFi,847
crbnio,15685,Wed Jun 03 09:00:09 +0000 2020,"$CARBON
Social • Crypto • Gaming #SocialFi #GameFi 
https://t.co/fN5dwctVd4
Telegram: https://t.co/JhX3I6JDov",2290
KAYEN_Protocol,81377,Sun Nov 26 13:29:26 +0000 2023,"🏟️ #RWA Ecosystem for #SocialFi and #SportFi
🌶️ Officially Powered by @Chiliz
👾 https://t.co/xGASUyUgTI
💬 https://t.co/YA04gb6u3K",391
DeCapital_DCT,11074,Fri Apr 12 05:33:15 +0000 2024,"The world's first community-driven, DAO-governed modern digital venture capital platform.The ecosystem covers #Metaverse, #NFT, #GameFi, #DeFi, and #SocialFi.",209
BlueV1007,4916,Wed Jan 04 09:34:51 +0000 2012,Invest+Incubator @K24Ventures Contributor @avatar_dao #cryptocurrency #web3 #SocialFi #DAO #GameFi,3902
openchaty,8756,Tue Aug 01 02:52:55 +0000 2023,"We're building on #Blast_L2 #socialfi
Openchaty is a project on the Blast L2 blockchain where creators share content and interact with users in creative spaces.",93
MonsterLord2024,7727,Sat Jul 27 14:30:18 +0000 2024,"An innovative web3 trendy toy social platform.
We lead in #SocialFi and #P2E | redefining #GameFi. 
https://t.co/iGInfocIXX  
https://t.co/4ZPSskD6SF",122
GemGameFi,1681,Sat Nov 23 06:43:02 +0000 2013,"$GEM 💎: GameFi & SocialFi using the first Legacy ERC404 on Avalanche 
Chinese TG : https://t.co/8ipVVbYTqx
English TG :  https://t.co/KOYPiiATcB",37
Bluemoon_io,42907,Fri Sep 17 17:53:09 +0000 2021,"Your portal to SocialFi, GameFi & the Metaverse. Collect NFTs, Earn Rewards, Build your Metaverse 🚀 #GameFi #SocialFi #Metaverse https://t.co/m8VFFAICp9",1252
deesse_dao,70504,Thu Nov 18 04:38:15 +0000 2021,"🌈Déesse NFT, AI & Amazon KDP Books SAGA
❤️Token $LOVE👉Huobi & Bitmart
📌#SocialFi
📌#NFTart
📌#AmazonBooks
📌#ChangeTheWorld
🍄All Details & info LINKTREE👇🏻",1393
Pulse__SocialFi,21,Wed Nov 13 13:46:45 +0000 2024,#SocialFi 進化中 ソーシャルで稼げよう! グルー プ: https://t.co/O89jqYgJVe SocialFi,0
PixieApp,22731,Wed Aug 25 01:59:57 +0000 2021,"Pixie is THE WORLD’S FIRST FULLY FUNCTIONAL #crypto-based photo and video sharing social network in #Web3 with #SocialFi

Links: https://t.co/NBz5CFdw9z",718
GameCelt,123254,Thu Jan 18 04:59:25 +0000 2018,"#Celestial #Metaverse, Blockchain world first #Gamefi+#Socialfi+#Nftswap.  
Telegram:https://t.co/wlSLc5u9zL
Discord: celestial-metaverse
Game Demo link：https://t.co/ilaRj1Bd3R",996
trendhub_one,47432,Tue Jun 26 19:07:12 +0000 2018,"🚀 The #1 Social Collaboration Network | AI-powered Hubs, gamified decision-making & Web3 insights | Earn CRED for trends | #SocialFi #AI #Web3 #Gamification",37811
multiverse_play,17924,Sun Sep 26 09:24:11 +0000 2021,"Building A Decentralized Intelligent Web3 X-To-Earn Scheduling & Asset Management Platform, based on #Guilds & #DeFi & #SocialFi & #ContentFi.",400
gemsgg_official,48865,Fri Dec 03 08:39:52 +0000 2021,"GEMS ESPORTS 3.0 PLATFORM is the World’s 1st Esports Gaming platform powered by blockchain.
#GAMEFI #ESPORTS #METAVERSE #SOCIALFI",1509
SafSocialFi,6,Sat May 28 20:36:22 +0000 2022,🚀 Ecological application aggregation system Tel：https://t.co/bfTsQoJmAS #SocialFi #BNBChain #web3,34
SocialFI2025,49,Thu Jan 21 12:07:07 +0000 2021,SocialFi Investor #SocialFI,328
SocialFi_sol,24,Wed Oct 30 21:34:11 +0000 2024,"SocialFi now on solana new Hype comming

6fXovRdVbpRGEbDkjv187eF7QVA4sXNeTM16Frsapump $socialfi",650
MoonFitOfficial,36922,Tue May 31 02:13:59 +0000 2022,"The #1 Cross-chain Social Fitness App 👟 #SocialFi #Web3Fitness 

Available on iOS & Android, Apple Watch Integration 

 Download MoonFit App: https://t.co/pYhY0r7FSU",2623
AU79Ventures,9057,Wed Jan 27 21:30:40 +0000 2010,"🌊Esearch-driven Blockchain investment   #Gamefi and #Socialfi Unicorn institutions💰
Immersive value investing,
#AXS #MATIC #APE
 #AVAX  #MANA #SAND #REQ",245
DeSui_io,21376,Fri Mar 03 10:21:21 +0000 2023,"Unlock the Power of Web3 with the Simplicity of Web2!  | All in One

 #Multichain, #SocialFI, #GameFI, #Launchpad. 

Check us out at 🌐 https://t.co/XZwzVnu4RC 🚀",504
erc_quest,7098,Wed Oct 18 14:12:53 +0000 2023,"🪙 The first cross-chain SocialFi project on the $SOL and $ETH network

🏴‍☠️ Start your $QUEST today:",160
facedaoio,67064,Fri Feb 18 01:30:21 +0000 2022,Finance As Community Entertainment DAO. Join FaceDAO to Earn $FACE. Android/IOS :https://t.co/PVxmITSHuf TG: https://t.co/pSRjP2BODp | #SocialFi #DAO #Meme,558
K24Ventures,2661,Sun Apr 11 08:31:17 +0000 2021,"Cryptographic digital investment institutions. #web3.0 #Gamefi #Socialfi #NFT #DeFi #zk 
Welcome to send deck. 
DM：bp@k24.fund",330
